Year	HadCRUT4	ICL	ICU
2013	0.49	0.4	0.59
2012	0.47	0.38	0.56
2011	0.42	0.33	0.51
2010	0.56	0.47	0.65
2009	0.5	0.41	0.6
2008	0.39	0.31	0.48
2007	0.49	0.4	0.58
2006	0.5	0.41	0.6
2005	0.54	0.45	0.64
2004	0.45	0.36	0.54
2003	0.51	0.42	0.6
2002	0.5	0.4	0.59
2001	0.44	0.35	0.53
2000	0.29	0.21	0.39
1999	0.31	0.22	0.4
1998	0.54	0.45	0.62
1997	0.39	0.3	0.48
1996	0.18	0.09	0.27
1995	0.32	0.23	0.41
1994	0.2	0.12	0.3
1993	0.14	0.06	0.23
1992	0.1	0.02	0.19
1991	0.25	0.17	0.34
1990	0.29	0.21	0.38
1989	0.12	0.04	0.21
1988	0.2	0.12	0.28
1987	0.19	0.1	0.27
