Population	Longueur
Biguglia	125
Biguglia	130
Biguglia	130
Biguglia	132
Biguglia	133
Biguglia	136
Biguglia	136
Biguglia	136
Biguglia	137
Biguglia	137
Biguglia	138
Biguglia	138
Biguglia	138
Biguglia	138
Biguglia	139
Biguglia	141
Biguglia	141
Biguglia	141
Biguglia	141
Biguglia	141
Biguglia	142
Biguglia	142
Biguglia	143
Biguglia	143
Biguglia	144
Biguglia	144
Biguglia	144
Biguglia	144
Biguglia	144
Biguglia	145
Biguglia	145
Biguglia	145
Biguglia	145
Biguglia	145
Biguglia	145
Biguglia	145
Biguglia	145
Biguglia	145
Biguglia	146
Biguglia	146
Biguglia	146
Biguglia	147
Biguglia	148
Biguglia	148
Biguglia	148
Biguglia	148
Biguglia	149
Biguglia	149
Biguglia	149
Biguglia	149
Biguglia	150
Biguglia	150
Biguglia	150
Biguglia	150
Biguglia	150
Biguglia	150
Biguglia	151
Biguglia	151
Biguglia	151
Biguglia	151
Biguglia	151
Biguglia	152
Biguglia	152
Biguglia	152
Biguglia	152
Biguglia	153
Biguglia	153
Biguglia	153
Biguglia	153
Biguglia	153
Biguglia	153
Biguglia	153
Biguglia	154
Biguglia	155
Biguglia	155
Biguglia	155
Biguglia	156
Biguglia	156
Biguglia	157
Biguglia	157
Biguglia	158
Biguglia	159
Biguglia	160
Biguglia	160
Biguglia	161
Biguglia	162
Biguglia	163
Biguglia	163
Biguglia	166
Biguglia	166
Biguglia	125.5
Biguglia	137.5
Biguglia	139.2
Biguglia	139.5
Biguglia	141.5
Biguglia	142.5
Biguglia	142.5
Biguglia	143.5
Biguglia	144.5
Biguglia	144.5
Biguglia	144.5
Biguglia	145.5
Biguglia	146.5
Biguglia	147.1
Biguglia	147.5
Biguglia	148.5
Biguglia	149.5
Biguglia	150.5
Biguglia	152.5
Biguglia	153.5
Biguglia	153.5
Biguglia	154.5
Biguglia	154.8
Biguglia	155.5
Brenne	132.984606
Brenne	133.55358
Brenne	135.05088
Brenne	136.54818
Brenne	137.426596
Brenne	137.6462
Brenne	138.94386
Brenne	139.44296
Brenne	139.582708
Brenne	139.84224
Brenne	140.530998
Brenne	140.730638
Brenne	140.74062
Brenne	141.449342
Brenne	141.639
Brenne	141.93846
Brenne	142.03828
Brenne	142.1381
Brenne	142.1381
Brenne	142.23792
Brenne	142.467506
Brenne	142.507434
Brenne	142.93666
Brenne	143.03648
Brenne	143.03648
Brenne	143.176228
Brenne	143.196192
Brenne	143.33594
Brenne	143.83504
Brenne	144.6336
Brenne	144.6336
Brenne	144.6336
Brenne	144.73342
Brenne	144.803294
Brenne	144.93306
Brenne	144.93306
Brenne	145.072808
Brenne	145.1327
Brenne	145.6318
Brenne	145.93126
Brenne	145.93126
Brenne	146.1309
Brenne	146.23072
Brenne	146.490252
Brenne	146.63
