"Population"	"Sexe"	"Longueur"
"Tartuguiere"	"F"	124.6696
"Tartuguiere"	"F"	125.6678
"Tartuguiere"	"F"	126.666
"Tartuguiere"	"F"	127.6642
"Tartuguiere"	"F"	127.6642
"Tartuguiere"	"F"	131.657
"Tartuguiere"	"F"	132.6552
"Tartuguiere"	"F"	132.6552
"Tartuguiere"	"F"	133.6534
"Tartuguiere"	"F"	136.648
"Tartuguiere"	"F"	136.648
"Tartuguiere"	"F"	137.6462
"Tartuguiere"	"F"	138.6444
"Tartuguiere"	"F"	138.6444
"Tartuguiere"	"F"	139.6426
"Tartuguiere"	"F"	139.6426
"Tartuguiere"	"F"	140.6408
"Tartuguiere"	"F"	140.6408
"Tartuguiere"	"F"	141.639
"Tartuguiere"	"F"	141.639
"Tartuguiere"	"F"	142.6372
"Tartuguiere"	"F"	142.6372
"Tartuguiere"	"F"	143.6354
"Tartuguiere"	"F"	143.6354
"Tartuguiere"	"F"	144.6336
"Tartuguiere"	"F"	144.6336
"Tartuguiere"	"F"	144.6336
"Tartuguiere"	"F"	146.63
"Tartuguiere"	"F"	147.6282
"Tartuguiere"	"F"	147.6282
"Tartuguiere"	"F"	147.6282
"Tartuguiere"	"F"	148.6264
"Tartuguiere"	"F"	148.6264
"Tartuguiere"	"F"	149.6246
"Tartuguiere"	"F"	150.6228
"Tartuguiere"	"F"	150.6228
"Tartuguiere"	"F"	151.621
"Tartuguiere"	"F"	151.621
"Tartuguiere"	"F"	151.621
"Tartuguiere"	"F"	152.6192
"Tartuguiere"	"F"	152.6192
"Tartuguiere"	"F"	152.6192
"Tartuguiere"	"F"	152.6192
"Tartuguiere"	"F"	153.6174
"Tartuguiere"	"F"	153.6174
"Tartuguiere"	"F"	153.6174
"Tartuguiere"	"F"	153.6174
"Tartuguiere"	"F"	155.6138
"Tartuguiere"	"F"	155.6138
"Tartuguiere"	"F"	157.6102
"Tartuguiere"	"F"	157.6102
"Tartuguiere"	"F"	157.6102
"Tartuguiere"	"F"	157.6102
