POSTE;cumul_precip;temperature_moyenne;annee;mois
Carcassonne;136,6;6,8;2004;1
Carcassonne;30,4;6,9;2004;2
Carcassonne;59;9,2;2004;3
Carcassonne;108;11,8;2004;4
Carcassonne;48;15,7;2004;5
Carcassonne;4,4;21,9;2004;6
Carcassonne;11,4;22,8;2004;7
Carcassonne;65,4;23;2004;8
Carcassonne;49,8;20;2004;9
Carcassonne;79;16,6;2004;10
Carcassonne;29,8;8,6;2004;11
Carcassonne;88,6;7,1;2004;12
Carcassonne;39,6;6;2005;1
Carcassonne;85,6;4,3;2005;2
Carcassonne;21,4;8,6;2005;3
Carcassonne;46,4;12,5;2005;4
Carcassonne;50,8;16,8;2005;5
Carcassonne;21,8;22,6;2005;6
Carcassonne;8;23,7;2005;7
Carcassonne;65,4;21,5;2005;8
Carcassonne;74,8;19,4;2005;9
Carcassonne;94,4;16,7;2005;10
Carcassonne;132,4;9,4;2005;11
Carcassonne;39,4;3,7;2005;12
Carcassonne;128,6;5,5;2006;1
Carcassonne;11,8;6,1;2006;2
Carcassonne;84,8;10,3;2006;3
Carcassonne;13,4;13,8;2006;4
Carcassonne;20,8;17,3;2006;5
Carcassonne;34,4;21,8;2006;6
Carcassonne;60,2;26,6;2006;7
Carcassonne;34,6;21,3;2006;8
Carcassonne;68,6;20,7;2006;9
Carcassonne;39,2;17,8;2006;10
Carcassonne;38,4;13;2006;11
Carcassonne;5,8;6,2;2006;12
Carcassonne;19,8;8;2007;1
Carcassonne;122,8;9,3;2007;2
Carcassonne;40,4;9,7;2007;3
Carcassonne;67,6;15,9;2007;4
Carcassonne;101,4;16,9;2007;5
Carcassonne;31,8;20,3;2007;6
Carcassonne;17,4;22;2007;7
Carcassonne;50,2;21,5;2007;8
Carcassonne;14,8;18,6;2007;9
Carcassonne;29,6;15;2007;10
Carcassonne;4;8,7;2007;11
Carcassonne;66,2;6,5;2007;12
Carcassonne;81,2;8,3;2008;1
Carcassonne;9,4;9,9;2008;2
Carcassonne;68;9,7;2008;3
Carcassonne;56,6;12,5;2008;4
Carcassonne;86;16,9;2008;5
Carcassonne;55;20,1;2008;6
Carcassonne;25,2;22,4;2008;7
Carcassonne;21,4;22,6;2008;8
Carcassonne;21;18,7;2008;9
Carcassonne;32,6;14,9;2008;10
Carcassonne;110,8;9;2008;11
Carcassonne;74,2;5,9;2008;12
Carcassonne;101,7;5,5;2009;1
Carcassonne;25;6,9;2009;2
Carcassonne;34,8;10,2;2009;3
Carcassonne;140,8;11,9;2009;4
Carcassonne;43,4;17,7;2009;5
Carcassonne;17,6;21,3;2009;6
Carcassonne;10;23,2;2009;7
Carcassonne;25;24,3;2009;8
Carcassonne;10,2;19,9;2009;9
Carcassonne;33,2;15,9;2009;10
Carcassonne;49;12,1;2009;11
Carcassonne;43;6,5;2009;12
Carcassonne;99,3;4,2;2010;1
Carcassonne;44,2;5,8;2010;2
Carcassonne;62,6;8,3;2010;3
Carcassonne;28,2;13,6;2010;4
Carcassonne;70,7;14,9;2010;5
Carcassonne;44,6;19,9;2010;6
Carcassonne;10,1;24;2010;7
Carcassonne;11,5;22,8;2010;8
Carcassonne;31,1;18,7;2010;9
Carcassonne;133;14;2010;10
Carcassonne;37,7;9,5;2010;11
Carcassonne;8,8;5,4;2010;12
Carcassonne;39,9;5,6;2011;1
Carcassonne;56,7;7,6;2011;2
Carcassonne;95,5;10,3;2011;3
Carcassonne;16,7;15,4;2011;4
Carcassonne;30,9;18,1;2011;5
Carcassonne;44,1;19;2011;6
Carcassonne;44,5;20,6;2011;7
Carcassonne;14,4;22,9;2011;8
Carcassonne;91,6;21,3;2011;9
Carcassonne;42,4;16,3;2011;10
Carcassonne;52,7;13,1;2011;11
Carcassonne;48,6;8,4;2011;12
Carcassonne;32,1;7,3;2012;1
Carcassonne;7,4;2,5;2012;2
Carcassonne;39;11,4;2012;3
Carcassonne;66,2;12,3;2012;4
Carcassonne;66,8;17;2012;5
Carcassonne;49,2;21,1;2012;6
Carcassonne;23,9;22,3;2012;7
Carcassonne;39,9;24,6;2012;8
Carcassonne;56,1;19,4;2012;9
Carcassonne;39,5;16;2012;10
Carcassonne;37;11;2012;11
Carcassonne;56,1;7,8;2012;12
Carcassonne;105,8;5,6;2013;1
Carcassonne;54,4;5,5;2013;2
Carcassonne;92,2;9,7;2013;3
Carcassonne;84,6;11,6;2013;4
Carcassonne;119,2;13,8;2013;5
Carcassonne;46;17,9;2013;6
Carcassonne;19,6;24,4;2013;7
Carcassonne;27,8;22,8;2013;8
Carcassonne;48;19,6;2013;9
Carcassonne;30,9;17;2013;10
Carcassonne;180;8,7;2013;11
Carcassonne;21,5;7;2013;12
Carcassonne;71,2;8,8;2014;1
Carcassonne;48,5;8,4;2014;2
Carcassonne;42,4;10,3;2014;3
Carcassonne;94,7;14,3;2014;4
Carcassonne;52,9;15,3;2014;5
Carcassonne;34,8;21,5;2014;6
Carcassonne;104,6;21,4;2014;7
Carcassonne;100,3;21,1;2014;8
Carcassonne;53,9;20,6;2014;9
Carcassonne;16;17,9;2014;10
