"POSTE" "cumul_precip" "temperature_moyenne" "annee" "mois" "fannee"
"1" "Carcassonne" 136.6 "6,8" 2004 1 "2004"
"2" "Carcassonne" 30.4 "6,9" 2004 2 "2004"
"3" "Carcassonne" 59 "9,2" 2004 3 "2004"
"4" "Carcassonne" 108 "11,8" 2004 4 "2004"
"5" "Carcassonne" 48 "15,7" 2004 5 "2004"
"6" "Carcassonne" 4.4 "21,9" 2004 6 "2004"
"7" "Carcassonne" 11.4 "22,8" 2004 7 "2004"
"8" "Carcassonne" 65.4 "23" 2004 8 "2004"
"9" "Carcassonne" 49.8 "20" 2004 9 "2004"
"10" "Carcassonne" 79 "16,6" 2004 10 "2004"
"11" "Carcassonne" 29.8 "8,6" 2004 11 "2004"
"12" "Carcassonne" 88.6 "7,1" 2004 12 "2004"
"13" "Carcassonne" 39.6 "6" 2005 1 "2005"
"14" "Carcassonne" 85.6 "4,3" 2005 2 "2005"
"15" "Carcassonne" 21.4 "8,6" 2005 3 "2005"
"16" "Carcassonne" 46.4 "12,5" 2005 4 "2005"
"17" "Carcassonne" 50.8 "16,8" 2005 5 "2005"
"18" "Carcassonne" 21.8 "22,6" 2005 6 "2005"
"19" "Carcassonne" 8 "23,7" 2005 7 "2005"
"20" "Carcassonne" 65.4 "21,5" 2005 8 "2005"
"21" "Carcassonne" 74.8 "19,4" 2005 9 "2005"
"22" "Carcassonne" 94.4 "16,7" 2005 10 "2005"
"23" "Carcassonne" 132.4 "9,4" 2005 11 "2005"
"24" "Carcassonne" 39.4 "3,7" 2005 12 "2005"
"25" "Carcassonne" 128.6 "5,5" 2006 1 "2006"
"26" "Carcassonne" 11.8 "6,1" 2006 2 "2006"
"27" "Carcassonne" 84.8 "10,3" 2006 3 "2006"
"28" "Carcassonne" 13.4 "13,8" 2006 4 "2006"
"29" "Carcassonne" 20.8 "17,3" 2006 5 "2006"
"30" "Carcassonne" 34.4 "21,8" 2006 6 "2006"
"31" "Carcassonne" 60.2 "26,6" 2006 7 "2006"
"32" "Carcassonne" 34.6 "21,3" 2006 8 "2006"
"33" "Carcassonne" 68.6 "20,7" 2006 9 "2006"
"34" "Carcassonne" 39.2 "17,8" 2006 10 "2006"
"35" "Carcassonne" 38.4 "13" 2006 11 "2006"
"36" "Carcassonne" 5.8 "6,2" 2006 12 "2006"
"37" "Carcassonne" 19.8 "8" 2007 1 "2007"
"38" "Carcassonne" 122.8 "9,3" 2007 2 "2007"
"39" "Carcassonne" 40.4 "9,7" 2007 3 "2007"
"40" "Carcassonne" 67.6 "15,9" 2007 4 "2007"
"41" "Carcassonne" 101.4 "16,9" 2007 5 "2007"
"42" "Carcassonne" 31.8 "20,3" 2007 6 "2007"
"43" "Carcassonne" 17.4 "22" 2007 7 "2007"
"44" "Carcassonne" 50.2 "21,5" 2007 8 "2007"
"45" "Carcassonne" 14.8 "18,6" 2007 9 "2007"
"46" "Carcassonne" 29.6 "15" 2007 10 "2007"
"47" "Carcassonne" 4 "8,7" 2007 11 "2007"
"48" "Carcassonne" 66.2 "6,5" 2007 12 "2007"
"49" "Carcassonne" 81.2 "8,3" 2008 1 "2008"
"50" "Carcassonne" 9.4 "9,9" 2008 2 "2008"
"51" "Carcassonne" 68 "9,7" 2008 3 "2008"
"52" "Carcassonne" 56.6 "12,5" 2008 4 "2008"
"53" "Carcassonne" 86 "16,9" 2008 5 "2008"
"54" "Carcassonne" 55 "20,1" 2008 6 "2008"
"55" "Carcassonne" 25.2 "22,4" 2008 7 "2008"
"56" "Carcassonne" 21.4 "22,6" 2008 8 "2008"
"57" "Carcassonne" 21 "18,7" 2008 9 "2008"
"58" "Carcassonne" 32.6 "14,9" 2008 10 "2008"
