jours	not_id	coqs	poules
1	31.5	NA	NA
2	37.3	NA	NA
3	NA	NA	NA
4	NA	NA	NA
5	38.5	NA	NA
5	36	NA	NA
5	39.75	NA	NA
6	57	NA	NA
7	43.5	NA	NA
8	NA	NA	NA
9	NA	56.75	NA
9	NA	56.75	NA
9	NA	63.75	NA
10	NA	NA	NA
11	NA	NA	NA
12	58.5	NA	NA
13	56	NA	NA
14	NA	NA	96.3
15	125	107.5	84.3
15	NA	92	121.2
15	NA	98	96.5
15	69	102	112
16	NA	152	112
17	NA	NA	126.8
17	NA	NA	105.3
18	64	142.5	137
18	NA	177	NA
19	NA	162	NA
19	44	137	NA
20	NA	NA	NA
21	NA	NA	161
21	NA	NA	NA
21	NA	NA	NA
22	NA	180	173.5
23	NA	NA	NA
24	NA	NA	NA
25	NA	NA	255
25	NA	NA	184
26	NA	NA	NA
27	NA	285.5	NA
27	NA	271	NA
27	NA	136	NA
28	NA	155.5	NA
28	NA	NA	NA
28	NA	243.75	NA
29	NA	NA	NA
30	NA	327.2	NA
31	NA	362	337
31	NA	366	NA
32	NA	NA	425
33	NA	NA	NA
34	NA	299.5	NA
35	NA	408	401.5
35	NA	448	NA
35	NA	446.5	NA
36	NA	634	NA
36	NA	473	NA
36	NA	458.5	NA
36	NA	350	NA
37	NA	NA	NA
38	NA	NA	NA
39	NA	318	NA
40	NA	490	NA
41	NA	768	NA
42	NA	NA	488
43	NA	530	NA
43	NA	615	NA
44	NA	NA	NA
45	NA	NA	NA
46	NA	NA	NA
47	NA	608.5	NA
48	NA	NA	NA
49	NA	762	NA
50	NA	985.5	NA
50	NA	807	NA
51	NA	700	NA
52	NA	NA	NA
53	NA	820	NA
54	NA	NA	NA
55	NA	NA	NA
56	NA	NA	NA
57	NA	1008	NA
58	NA	NA	NA
59	NA	NA	NA
60	NA	1350	NA
61	NA	1300	NA
62	NA	NA	NA
63	NA	NA	660
64	NA	NA	840
65	NA	1280	NA
66	NA	NA	NA
67	NA	NA	NA
68	NA	NA	NA
69	NA	NA	NA
70	NA	1500	NA
71	NA	NA	NA
72	NA	NA	NA
73	NA	1750	NA
73	NA	1400	NA
73	NA	1510	NA
73	NA	1300	NA
74	NA	NA	NA
75	NA	1230	NA
76	NA	1275	NA
77	NA	NA	NA
78	NA	1950	NA
79	NA	1800	NA
79	NA	1654.5	NA
79	NA	1500	NA
80	NA	1975	NA
81	NA	1900	NA
82	NA	1750	NA
82	NA	2150	NA
82	NA	1850	NA
82	NA	1900	NA
83	NA	1900	NA
84	NA	NA	NA
85	NA	NA	NA
86	NA	1950	NA
86	NA	1900	NA
86	NA	2200	NA
87	NA	NA	NA
88	NA	NA	NA
89	NA	1550	NA
90	NA	NA	NA
91	NA	1700	NA
92	NA	2200	NA
93	NA	NA	NA
94	NA	NA	NA
95	NA	1700	NA
95	NA	2175	NA
95	NA	2350	NA
95	NA	1900	NA
95	NA	2185	NA
95	NA	2200	NA
96	NA	2150	NA
97	NA	NA	NA
98	NA	NA	NA
99	NA	NA	NA
100	NA	2150	NA
101	NA	NA	NA
102	NA	NA	NA
103	NA	NA	NA
104	NA	NA	NA
105	NA	NA	NA
106	NA	NA	NA
107	NA	NA	NA
108	NA	2500	NA
109	NA	NA	NA
110	NA	2350	NA
111	NA	2750	NA
112	NA	NA	1360
