id	nichoir	cercle	hmax
1	141	E	26.8
2	141	N	24.9
3	141	S	26
4	141	W	26.8
5	142	E	28
6	142	N	25.7
7	142	S	23.9
8	142	W	23.9
9	143	E	24.4
10	143	N	29.2
11	143	S	24.3
12	143	W	23.3
13	144	E	24.31
14	144	N	24.9
15	144	S	21.7
16	144	W	26.3
17	151	E	24.8
18	151	N	26.1
19	151	S	29.5
20	151	W	29.9
21	152	E	28
22	152	N	24.4
23	152	S	31.4
24	152	W	31.3
25	153	E	26
26	153	N	30
27	153	S	21.6
28	153	W	22.7
29	154	E	27.2
30	154	N	24.4
31	154	S	23.3
32	154	W	23.7
33	451	E	34.4
34	451	N	35.4
35	451	S	31.3
36	451	W	31.9
37	452	E	29.9
38	452	N	34.5
39	452	S	29.8
40	452	W	33.9
41	453	E	24.3
42	453	N	29.4
43	453	S	29.6
44	453	W	30.5
45	454	E	29.9
46	454	N	30.6
47	454	S	33.1
48	454	W	32.7
49	455	E	29.5
50	455	N	26.3
51	455	S	31
52	455	W	25.9
53	456	E	26.3
54	456	N	25.1
55	456	S	28.1
56	456	W	30.7
57	457	E	29.8
58	457	N	27.2
59	457	S	28.5
60	457	W	28.1
61	458	E	23.6
62	458	N	26.9
63	458	S	29.1
64	458	W	25
65	501	E	26.6
66	501	N	25.2
67	501	S	27.7
68	501	W	22.1
69	502	E	26.3
70	502	N	23.4
71	502	S	29.2
72	502	W	27
73	503	E	32.3
74	503	N	28.4
75	503	S	25.8
76	503	W	28.5
77	504	E	28.6
78	504	N	28.7
79	504	S	31.2
80	504	W	27.8
81	551	E	22.6
82	551	N	18.7
83	551	S	20.4
84	551	W	25
85	552	E	21.2
86	552	N	20.6
87	552	S	20.8
88	552	W	21.7
89	553	E	22.9
90	553	N	23.8
91	553	S	23.8
92	553	W	25.1
93	554	E	25.8
94	554	N	23.8
95	554	S	26.8
96	554	W	24.4
97	611	E	25.9
98	611	N	25
99	611	S	24.9
100	611	W	20.6
101	612	E	23.9
102	612	N	25.8
103	612	S	27.1
104	612	W	27.4
105	613	E	22.7
106	613	N	26.8
107	613	S	26.9
108	613	W	24.7
109	614	E	24.6
110	614	N	27.3
111	614	S	28.5
112	614	W	25.9
113	751	E	25.7
114	751	N	25.7
115	751	S	27.9
116	751	W	22.4
117	752	E	18.3
118	752	N	22.4
119	752	S	21.4
120	752	W	21.1
121	753	E	22.9
122	753	N	26.7
123	753	S	24.4
124	753	W	26.2
125	754	E	27.2
126	754	N	24.4
127	754	S	28.4
128	754	W	23.8
129	771	E	17.4
130	771	N	26.2
131	771	S	18.9
132	771	W	24.7
133	772	E	21.1
134	772	N	22.3
135	772	S	26.7
136	772	W	20.1
137	773	E	28.9
138	773	N	28
139	773	S	28.6
140	773	W	27.8
141	774	E	27.4
142	774	N	21.4
143	774	S	26.6
144	774	W	27.8
145	791	E	27.9
146	791	N	27.9
147	791	S	28
148	791	W	27.5
149	792	E	29.7
150	792	N	30.4
151	792	S	26.8
152	792	W	29.6
153	793	E	30.2
154	793	N	25.5
155	793	S	26.5
156	793	W	27
