nichoir	espece	tarse	poids
458	PARMAJ	20.04	18.09
458	PARMAJ	20.65	18.43
458	PARMAJ	20.5	18.3
458	PARMAJ	20.66	17.86
458	PARMAJ	20.19	17.87
153	PARMAJ	20.695	18.47
153	PARMAJ	19.4	17.48
153	PARMAJ	19.64	17.3
153	PARMAJ	20.445	19.12
153	PARMAJ	19.945	15.8
153	PARMAJ	20.06	18.19
153	PARMAJ	20.185	17.63
153	PARMAJ	20.155	18.18
153	PARMAJ	20.3	18.66
793	PARMAJ	20.62	17.94
793	PARMAJ	19.575	18.3
793	PARMAJ	19.995	17.71
793	PARMAJ	19.965	16.75
793	PARMAJ	20.41	19.15
793	PARMAJ	19.685	18.52
793	PARMAJ	20.335	17.92
793	PARMAJ	19.68	18.51
793	PARMAJ	19.755	18.21
2552	PARMAJ	20.315	17.1
2552	PARMAJ	19.785	17.65
2552	PARMAJ	19.695	17.1
2552	PARMAJ	20.165	18.01
2552	PARMAJ	19.725	17.98
2552	PARMAJ	20.83	18.53
2552	PARMAJ	20.63	19
2552	PARMAJ	19.975	17.92
2552	PARMAJ	20.32	18.72
2552	PARMAJ	20.54	17.67
451	PARMAJ	19.91	17.55
451	PARMAJ	20.835	17.68
451	PARMAJ	21.585	19.02
451	PARMAJ	20.865	18.35
451	PARMAJ	20.625	16.78
451	PARMAJ	20.995	19.01
451	PARMAJ	20	18.13
451	PARMAJ	21.205	18.48
451	PARMAJ	20.73	19.41
753	PARMAJ	18.785	17.49
753	PARMAJ	20.785	18.91
753	PARMAJ	21.035	19.4
753	PARMAJ	19.515	18.02
753	PARMAJ	20.165	17.5
753	PARMAJ	20.26	18.95
753	PARMAJ	19.67	17.28
753	PARMAJ	20.37	18.95
2193	PARMAJ	20.15	17.68
2193	PARMAJ	20.595	18.74
2193	PARMAJ	19.485	16.68
2193	PARMAJ	20.09	17.31
2193	PARMAJ	19.855	17.45
2193	PARMAJ	20.34	17.26
2193	PARMAJ	20.11	17.12
2193	PARMAJ	19.63	16.49
2193	PARMAJ	19.87	18.72
1444	PARMAJ	20.17	19.43
1444	PARMAJ	19.315	16.91
1444	PARMAJ	19.965	16.68
1444	PARMAJ	19.845	15.98
1444	PARMAJ	19.445	17.08
1444	PARMAJ	19.9	16.76
1444	PARMAJ	19.925	17.34
1444	PARMAJ	19.155	15.56
1444	PARMAJ	20.41	17.6
2453	PARCAE	17.28	10.18
2453	PARCAE	16.265	8.73
2453	PARCAE	16.165	9.67
2453	PARCAE	16.445	10.21
2162	PARMAJ	20.5	17.96
2162	PARMAJ	19.1	15.75
2162	PARMAJ	20.33	18.38
2162	PARMAJ	19.43	17.23
2162	PARMAJ	19.755	17.8
2162	PARMAJ	19.46	16.58
1442	PARMAJ	20.355	15.79
1442	PARMAJ	20.155	13.67
1442	PARMAJ	20.155	14.35
1442	PARMAJ	19.495	15.61
1442	PARMAJ	19.68	15.27
1442	PARMAJ	19.75	15.47
1442	PARMAJ	19.345	14.3
1442	PARMAJ	20.39	15.72
1442	PARMAJ	20.175	16.09
2181	PARMAJ	19.43	15.13
2181	PARMAJ	20.5	18.57
2181	PARMAJ	20.52	18.67
2181	PARMAJ	19.62	16.48
2181	PARMAJ	20.505	19.43
2181	PARMAJ	21.14	18.08
2181	PARMAJ	21.315	15.46
2181	PARMAJ	21.305	15
2181	PARMAJ	20.77	17.61
2181	PARMAJ	20.145	17.73
2181	PARMAJ	20.46	18.64
2152	PARMAJ	19.425	17.96
2152	PARMAJ	20.205	19.8
2152	PARMAJ	20.055	16.93
2152	PARMAJ	20.065	17.63
2152	PARMAJ	19.715	17.49
2152	PARMAJ	19.875	17.63
2152	PARMAJ	19.485	16.88
2152	PARMAJ	20.865	18.35
2152	PARMAJ	21.13	18.85
2152	PARMAJ	19.555	17.78
1624	PARMAJ	19.785	17.89
1624	PARMAJ	19.81	17.65
1624	PARMAJ	21.06	19.7
1624	PARMAJ	21.295	19.38
1624	PARMAJ	20.29	18.68
1624	PARMAJ	19.9	19.79
1624	PARMAJ	21.135	19.16
1624	PARMAJ	19.695	18.33
1624	PARMAJ	20.215	18.95
2163	PARMAJ	18.635	17.23
2163	PARMAJ	18	15.88
2163	PARMAJ	18.715	16.66
2163	PARMAJ	19.17	17.1
2163	PARMAJ	18.78	17
2163	PARMAJ	19.305	17.56
2163	PARMAJ	19.1	16.96
2163	PARMAJ	20.485	18.14
2163	PARMAJ	18.94	14.88
2163	PARMAJ	18.92	16.09
1253	PARMAJ	21.4	16.68
1253	PARMAJ	20.605	18.73
1253	PARMAJ	20.52	17.76
1253	PARMAJ	20.425	18.8
1253	PARMAJ	20.8	18.9
1253	PARMAJ	20.64	19.5
1253	PARMAJ	19.685	16.8
752	PARCAE	15.685	9.31
752	PARCAE	16.225	10.06
752	PARCAE	15.5	10.02
752	PARCAE	15.99	9.98
752	PARCAE	16.985	10.95
752	PARCAE	NA	7.93
752	PARCAE	16.015	9.71
752	PARCAE	15.515	9.02
752	PARCAE	15.33	9.75
752	PARCAE	16.62	10.76
2553	PARMAJ	21.39	17.88
2553	PARMAJ	20.135	17.7
2553	PARMAJ	20.55	18.55
2553	PARMAJ	20.51	17.31
2553	PARMAJ	21.155	18.08
2553	PARMAJ	20.705	17.88
2553	PARMAJ	20.39	17.95
2553	PARMAJ	20.545	17.44
2553	PARMAJ	19.93	16.78
2553	PARMAJ	20.28	17.1
1443	PARCAE	17.495	11.04
1443	PARCAE	16.015	9.68
1443	PARCAE	17.495	11.19
1443	PARCAE	16.69	9.16
1443	PARCAE	17.64	10.71
1443	PARCAE	17.4	10.82
1443	PARCAE	17.055	10.97
1443	PARCAE	17.175	10.43
1443	PARCAE	16.475	10.08
1443	PARCAE	15.95	8.56
772	PARMAJ	19.93	17.82
772	PARMAJ	19.67	18.13
772	PARMAJ	19.98	18.1
772	PARMAJ	20.155	17.36
772	PARMAJ	19.285	18.4
772	PARMAJ	20.22	19.18
772	PARMAJ	20.165	17.94
551	PARCAE	16.31	10.5
551	PARCAE	16.9	11.32
551	PARCAE	17.715	11.58
551	PARCAE	15.24	8.15
551	PARCAE	16.11	11.22
551	PARCAE	16.675	11.79
551	PARCAE	16.535	11.2
551	PARCAE	16.185	11.28
551	PARCAE	16.535	10.85
551	PARCAE	16.89	10.9
551	PARCAE	17.33	11.57
1663	PARCAE	16.7	9.62
1663	PARCAE	15.675	8.65
1663	PARCAE	15.215	7.42
1663	PARCAE	14.885	8.71
1663	PARCAE	15.085	8.26
1663	PARCAE	15.02	8.75
1251	PARMAJ	20.515	19.2
1251	PARMAJ	20.975	18.97
1251	PARMAJ	20.29	16.85
1251	PARMAJ	20.06	17.7
1251	PARMAJ	21.28	18.27
1251	PARMAJ	20.735	18.4
1251	PARMAJ	21.45	19.88
1251	PARMAJ	21.205	18.69
1251	PARMAJ	21.07	19.48
1251	PARMAJ	20.7	17.26
1251	PARMAJ	20.33	18.2
142	PARCAE	17.33	10.79
142	PARCAE	17.16	11.1
142	PARCAE	16.895	10
142	PARCAE	16.535	10.48
142	PARCAE	16.79	11.49
142	PARCAE	16.88	10.32
142	PARCAE	17.31	11.1
771	PARCAE	17.06	10.93
771	PARCAE	17.165	11.01
771	PARCAE	16.76	9.86
771	PARCAE	16.79	10.53
771	PARCAE	15.57	8.69
771	PARCAE	17.36	11.48
771	PARCAE	17.105	10.23
771	PARCAE	16.995	10.94
771	PARCAE	17.23	11.06
771	PARCAE	17.32	10.63
771	PARCAE	17.275	10.73
771	PARCAE	17.01	10.24
771	PARCAE	15.97	9.69
455	PARMAJ	19.13	15.16
455	PARMAJ	21.27	17.75
455	PARMAJ	19.78	17.2
455	PARMAJ	19.725	17.16
455	PARMAJ	20.785	17.2
455	PARMAJ	20.59	17.9
455	PARMAJ	20.99	17.18
455	PARMAJ	20.205	17.83
455	PARMAJ	20.85	17.05
455	PARMAJ	19.405	15.98
1392	PARMAJ	18.65	15.96
1392	PARMAJ	18.425	15.23
1392	PARMAJ	18.68	15.75
1392	PARMAJ	18.96	16.2
1392	PARMAJ	18.775	17.25
1392	PARMAJ	18.705	15.74
452	PARCAE	17.935	10.28
452	PARCAE	17.415	10.29
452	PARCAE	18.085	10.78
452	PARCAE	17.72	10.56
452	PARCAE	17.39	10.19
452	PARCAE	18.215	11.08
452	PARCAE	16.96	10.7
452	PARCAE	17.81	10.42
452	PARCAE	17.265	9.28
452	PARCAE	17.22	9.88
452	PARCAE	17.51	10.08
457	PARCAE	16.22	11.34
457	PARCAE	17.15	12.15
457	PARCAE	16.8	11.01
457	PARCAE	16.6	11.37
457	PARCAE	16.29	10.67
457	PARCAE	16.055	10.8
457	PARCAE	16.71	11.14
457	PARCAE	16.515	10.9
457	PARCAE	16.44	10.64
457	PARCAE	17.43	11.78
457	PARCAE	16.685	11.08
457	PARCAE	16.805	10.57
457	PARCAE	16.53	11.03
504	PARMAJ	19.68	17.06
504	PARMAJ	20.42	16.14
504	PARMAJ	20.9	19.17
504	PARMAJ	20.91	17.48
504	PARMAJ	20.925	16.78
504	PARMAJ	20.25	17.04
504	PARMAJ	20.415	18.08
504	PARMAJ	20.155	14.94
504	PARMAJ	20.005	15.95
152	PARCAE	16.97	12.08
152	PARCAE	16.53	10.77
152	PARCAE	16.585	11.01
143	PARCAE	17.575	10.06
143	PARCAE	18.11	14.01
143	PARCAE	18.145	11.29
143	PARCAE	16.75	10.76
143	PARCAE	17.905	11.48
143	PARCAE	18.185	12.46
143	PARCAE	17.92	12.47
143	PARCAE	17.57	11.61
143	PARCAE	16.76	10.58
453	PARCAE	16.745	10.71
453	PARCAE	17.895	11.62
453	PARCAE	16.91	9.96
453	PARCAE	16.78	10.26
453	PARCAE	18.58	12.22
453	PARCAE	17.93	12.15
453	PARCAE	17.2	10.31
453	PARCAE	17.12	11.17
453	PARCAE	17.325	10.41
453	PARCAE	17.78	11.14
453	PARCAE	17.08	10.93
453	PARCAE	16.38	10.27
453	PARCAE	16.975	10.53
552	PARMAJ	20.705	18.23
552	PARMAJ	20.205	17.09
552	PARMAJ	20.09	18
552	PARMAJ	19.825	17.25
552	PARMAJ	20.235	18.66
552	PARMAJ	19.825	18.33
552	PARMAJ	19.72	16.35
552	PARMAJ	19.705	16.6
552	PARMAJ	20.62	16.83
552	PARMAJ	20.435	17.36
454	PARMAJ	19.96	16.32
454	PARMAJ	20.45	17.52
454	PARMAJ	20.3	17
454	PARMAJ	20.12	17.74
454	PARMAJ	19.965	18.58
774	PARCAE	16.615	10.62
774	PARCAE	17	10.95
774	PARCAE	17.975	11.45
774	PARCAE	16.49	10.29
774	PARCAE	16.57	10.7
2452	PARMAJ	18.87	12.25
2452	PARMAJ	20.445	17.59
2452	PARMAJ	20.66	16.78
2452	PARMAJ	20.38	16.19
2452	PARMAJ	20.29	15.76
2452	PARMAJ	20.92	16.63
2452	PARMAJ	20.35	17.22
2452	PARMAJ	19.91	17.44
2452	PARMAJ	19.99	14.97
2452	PARMAJ	20.245	16.4
2161	PARMAJ	17.255	15.9
2161	PARMAJ	20.52	19.5
2161	PARMAJ	19.635	16
2161	PARMAJ	19.615	15.39
1623	PARMAJ	19.81	18.77
1623	PARMAJ	20.045	17.66
1623	PARMAJ	20.815	19.01
1623	PARMAJ	20.65	19.03
1623	PARMAJ	19.925	16.38
1623	PARMAJ	20.9	18.3
1623	PARMAJ	20.67	18.64
1623	PARMAJ	18.95	15.98
1623	PARMAJ	20.18	18.97
458	PARMAJ	20.875	18.64
458	PARMAJ	20.375	18.55
458	PARMAJ	20.805	19.89
458	PARMAJ	20.3	16.68
458	PARMAJ	20.935	16.98
458	PARMAJ	20.14	19.21
2151	PARMAJ	20.045	17.03
2151	PARMAJ	19.85	17.68
2151	PARMAJ	20.4	18.62
2151	PARMAJ	20.1	18.13
2151	PARMAJ	19.61	16.6
2151	PARMAJ	19.45	18.24
2151	PARMAJ	19.485	16.5
2151	PARMAJ	20.6	17.69
751	PARCAE	16.355	11.56
751	PARCAE	16.23	11.79
751	PARCAE	16.62	11.79
751	PARCAE	15.595	10.22
2183	PARMAJ	20.24	17.89
2183	PARMAJ	21.135	18.88
2183	PARMAJ	19.575	14.62
2183	PARMAJ	19.14	14.42
2183	PARMAJ	20.055	15.7
2183	PARMAJ	19.195	16.3
2183	PARMAJ	19.46	16.26
2183	PARMAJ	19.86	15.73
2183	PARMAJ	19.57	16.02
1252	PARMAJ	20.845	20.53
1252	PARMAJ	20.055	18.31
1252	PARMAJ	20.7	18.31
792	PARMAJ	20.24	16.59
792	PARMAJ	19.54	17.17
792	PARMAJ	20.26	18.89
792	PARMAJ	20.015	16.98
792	PARMAJ	19.56	18.7
792	PARMAJ	20.575	17.28
792	PARMAJ	19.13	14.45
2551	PARMAJ	20.55	17.57
2551	PARMAJ	19.89	16.53
2551	PARMAJ	20.4	17.81
2551	PARMAJ	21.095	17.84
2551	PARMAJ	20.035	17.23
2551	PARMAJ	18.605	14.25
451	PARMAJ	20.345	18.16
451	PARMAJ	19.645	16.18
451	PARMAJ	20.35	17.31
451	PARMAJ	20.385	16.5
451	PARMAJ	20.76	17.07
451	PARMAJ	19.81	19.39
