mpoint	massif	abond	rs	annee	ST	Hdom	Ddom	essence	nstrates	dist_lisiere	latitude	longitude
Belleme_10	Belleme	19	18	5	13	35	60	CHE	6	146	48.41115	0.56226
Belleme_100	Belleme	20	15	5	32	28	45	CHE	6	102	48.40139	0.51194
Belleme_101	Belleme	11	8	5	23	22	30	CHE	6	390	48.40165	0.52881
Belleme_102	Belleme	11	10	5	23	22	30	CHE	6	527	48.4017	0.53219
Belleme_103	Belleme	9	12	5	25	24	30	CHE	6	686	48.40176	0.53556
Belleme_104	Belleme	8	12	5	25	24	30	CHE	6	548	48.40181	0.53894
Belleme_105	Belleme	10	8	5	18	16	20	CHE	5	490	48.40186	0.54231
Belleme_106	Belleme	13	13	5	18	16	20	CHE	5	491	48.40191	0.54569
Belleme_107	Belleme	14	11	5	22	15	25	CHE	5	605	48.40196	0.54906
Belleme_108	Belleme	11	9	5	22	15	25	CHE	5	785	48.40201	0.55244
Belleme_109	Belleme	12	11	5	22	32	55	PS	6	996	48.40206	0.55581
Belleme_11	Belleme	24	16	5	28	20	45	DOU	6	232	48.4112	0.56563
Belleme_110	Belleme	12	10	5	22	32	55	PS	6	1054	48.40211	0.55919
Belleme_111	Belleme	11	10	5	19	11	12	CHE	5	1098	48.40216	0.56256
Belleme_112	Belleme	16	16	5	34	33	55	CHE	6	1149	48.40222	0.56593
Belleme_113	Belleme	14	14	5	34	33	55	CHE	6	901	48.40227	0.56931
Belleme_114	Belleme	11	11	5	28	11	15	CHE	5	653	48.40232	0.57268
Belleme_115	Belleme	13	13	5	26	20	30	SP	6	409	48.40237	0.57606
Belleme_116	Belleme	12	14	5	22	15	25	CHE	5	179	48.40242	0.57943
Belleme_117	Belleme	24	15	5	38	42	85	CHE	6	62	48.40247	0.58281
Belleme_12	Belleme	9	12	5	28	20	45	DOU	6	207	48.41125	0.56901
Belleme_13	Belleme	12	14	5	23	31	50	PS	6	202	48.4113	0.57238
Belleme_14	Belleme	10	12	5	28	20	45	DOU	6	79	48.41136	0.57576
Belleme_15	Belleme	9	11	5	28	16	25	CHE	5	22	48.41141	0.57913
Belleme_154	Belleme	15	16	5	22	32	55	PS	6	35	48.3961	0.46149
Belleme_155	Belleme	8	15	5	NA	6	5	CHE	5	257	48.39616	0.46486
Belleme_156	Belleme	15	16	5	27	35	70	PS	6	491	48.39621	0.46823
Belleme_157	Belleme	15	15	5	27	35	70	PS	6	736	48.39627	0.47161
Belleme_158	Belleme	21	15	5	21	34	85	CHE	6	955	48.39632	0.47498
Belleme_159	Belleme	15	13	5	21	34	85	CHE	6	1035	48.39637	0.47836
Belleme_160	Belleme	20	17	5	21	34	85	CHE	6	1105	48.39643	0.48173
Belleme_161	Belleme	13	13	5	28	32	65	CHE	6	1056	48.39648	0.48511
Belleme_162	Belleme	16	11	5	28	32	65	CHE	6	1064	48.39653	0.48848
Belleme_163	Belleme	15	16	5	30	35	65	CHE	6	989	48.39658	0.49185
Belleme_164	Belleme	9	11	5	26	20	30	SP	6	952	48.39664	0.49523
Belleme_165	Belleme	11	15	5	NA	11	15	CHE	5	979	48.39669	0.4986
Belleme_166	Belleme	8	12	5	NA	11	15	CHE	5	792	48.39674	0.50198
Belleme_167	Belleme	10	9	5	NA	10	15	CHE	5	574	48.39679	0.50535
Belleme_168	Belleme	19	15	5	33	30	70	CHE	6	378	48.39685	0.50872
Belleme_169	Belleme	15	12	5	33	30	70	CHE	6	286	48.3969	0.5121
Belleme_170	Belleme	17	15	5	33	30	70	CHE	6	326	48.39695	0.51547
Belleme_171	Belleme	22	16	5	37	33	70	CHE	6	350	48.397	0.51885
Belleme_172	Belleme	17	13	5	32	34	65	CHE	6	255	48.39705	0.52222
Belleme_173	Belleme	20	18	5	32	34	65	CHE	6	345	48.39711	0.5256
Belleme_174	Belleme	15	11	5	32	34	65	CHE	6	545	48.39716	0.52897
Belleme_175	Belleme	24	17	5	27	32	75	CHE	6	775	48.39721	0.53234
Belleme_176	Belleme	16	14	5	27	32	75	CHE	6	1015	48.39726	0.53572
Belleme_177	Belleme	17	15	5	36	41	90	CHE	6	1026	48.39731	0.53909
Belleme_178	Belleme	8	9	5	28	14	15	CHE	5	983	48.39736	0.54247
Belleme_179	Belleme	11	11	5	28	14	15	CHE	5	983	48.39742	0.54584
Belleme_180	Belleme	9	12	5	28	14	15	CHE	5	1045	48.39747	0.54922
Belleme_181	Belleme	13	14	5	28	11	15	CHE	5	1003	48.39752	0.55259
Belleme_182	Belleme	11	12	5	28	11	15	CHE	5	1004	48.39757	0.55596
Belleme_183	Belleme	10	10	5	NA	6	12	CHE	5	996	48.39762	0.55934
Belleme_184	Belleme	15	18	5	NA	6	12	CHE	5	861	48.39767	0.56271
Belleme_185	Belleme	18	18	5	35	36	60	CHE	6	742	48.39772	0.56609
Belleme_186	Belleme	15	15	5	35	36	60	CHE	6	694	48.39777	0.56946
Belleme_187	Belleme	13	16	5	32	29	50	DOU	6	612	48.39782	0.57284
Belleme_188	Belleme	13	8	5	28	21	45	SP	6	465	48.39787	0.57621
