annee;date;date_resc;TmaxFev.Mars
1983;14/03/1983;72;12.15
1984;23/03/1984;82;11.775
1985;28/02/1985;58;13.0875
1986;07/03/1986;65;11.6625
1987;27/03/1987;85;12.075
1988;15/01/1988;14;13.6875
1989;07/03/1989;65;15.65
1990;06/02/1990;36;16.575
1991;17/02/1991;47;13.4
1992;25/02/1992;55;13.9125
1993;14/03/1993;72;13.1625
1994;23/02/1994;53;15.325
1995;17/02/1995;47;15.1125
1996;26/02/1996;56;12.225
1997;11/02/1997;41;17.4875
1998;11/02/1998;41;15.5
1999;28/02/1999;58;13.9
2000;13/02/2000;43;15.6125
2001;04/02/2001;34;15.525
2002;24/02/2002;54;15.7125
2003;01/03/2003;59;13.5125
2004;21/02/2004;51;13.075
2005;12/03/2005;70;11.95
2006;27/02/2006;57;13.2375
2007;25/02/2007;55;15.1625
2008;26/02/2008;56;15.0125
2009;27/02/2009;57;14.45
2010;23/02/2010;53;12.2875
2011;24/02/2011;54;14.35
2012;07/03/2012;66;13.5875
2013;05/03/2013;63;12.3625
2014;21/01/2014;20;15.3625
