"species"	"Migratory.mode"	"Nest.type"
"Nesofregetta fuliginosa"	"nonmigrant"	"cavity"
"Fregetta tropica"	"nonmigrant"	"cavity"
"Fregetta grallaria"	"nonmigrant"	"cavity"
"Oceanites oceanicus"	"nonmigrant"	"cavity"
"Pelagodroma marina"	"migrant"	"cavity"
"Garrodia nereis"	"nonmigrant"	"cavity"
"Pelecanoides urinatrix"	"nonmigrant"	"cavity"
"Pelecanoides georgicus"	"nonmigrant"	"cavity"
"Pelecanoides magellani"	"nonmigrant"	"cavity"
"Pterodroma macroptera"	"nonmigrant"	"cavity"
"Pterodroma mollis"	"nonmigrant"	"cavity"
"Pterodroma leucoptera"	"nonmigrant"	"open"
"Pterodroma hypoleuca"	"nonmigrant"	"cavity"
"Pterodroma inexpectata"	"migrant"	"cavity"
"Pterodroma baraui"	"nonmigrant"	"cavity"
"Pterodroma phaeopygia"	"nonmigrant"	"cavity"
"Pterodroma externa"	"nonmigrant"	"cavity"
"Pterodroma neglecta"	"nonmigrant"	"open"
"Pterodroma alba"	"nonmigrant"	"open"
"Procellaria westlandica"	"nonmigrant"	"cavity"
"Procellaria cinerea"	"nonmigrant"	"cavity"
"Procellaria aequinoctialis"	"nonmigrant"	"cavity"
"Puffinus gravis"	"nonmigrant"	"cavity"
"Puffinus griseus"	"migrant"	"cavity"
"Puffinus carneipes"	"nonmigrant"	"cavity"
"Puffinus tenuirostris"	"migrant"	"cavity"
"Puffinus pacificus"	"migrant"	"cavity"
"Puffinus bulleri"	"nonmigrant"	"cavity"
"Puffinus huttoni"	"nonmigrant"	"cavity"
"Puffinus assimilis"	"migrant"	"cavity"
"Puffinus lherminieri"	"migrant"	"cavity"
"Puffinus puffinus"	"nonmigrant"	"cavity"
"Puffinus nativitatis"	"migrant"	"cavity"
"Calonectris diomedea"	"nonmigrant"	"cavity"
"Calonectris leucomelas"	"nonmigrant"	"cavity"
"Bulweria bulwerii"	"nonmigrant"	"cavity"
"Pachyptila belcheri"	"nonmigrant"	"cavity"
"Pachyptila turtur"	"nonmigrant"	"cavity"
"Pachyptila vittata"	"migrant"	"cavity"
"Pachyptila desolata"	"nonmigrant"	"cavity"
"Halobaena caerulea"	"migrant"	"cavity"
"Daption capense"	"migrant"	"open"
"Fulmarus glacialis"	"migrant"	"open"
"Fulmarus glacialoides"	"migrant"	"open"
"Macronectes giganteus"	"migrant"	"open"
"Macronectes halli"	"migrant"	"open"
"Thalassoica antarctica"	"migrant"	"open"
"Pagodroma nivea"	"nonmigrant"	"open"
"Hydrobates pelagicus"	"nonmigrant"	"cavity"
"Oceanodroma furcata"	"nonmigrant"	"cavity"
"Oceanodroma tethys"	"migrant"	"cavity"
"Oceanodroma melania"	"nonmigrant"	"cavity"
"Oceanodroma leucorhoa"	"nonmigrant"	"cavity"
"Oceanodroma homochroa"	"nonmigrant"	"cavity"
"Oceanodroma monorhis"	"nonmigrant"	"cavity"
"Oceanodroma castro"	"migrant"	"cavity"
"Diomedea exulans"	"migrant"	"open"
"Diomedea cauta"	"migrant"	"open"
"Diomedea bulleri"	"migrant"	"open"
"Diomedea chrysostoma"	"migrant"	"open"
"Diomedea melanophris"	"migrant"	"open"
"Diomedea chlororhynchos"	"migrant"	"open"
"Phoebetria fusca"	"migrant"	"open"
"Phoebetria palpebrata"	"migrant"	"open"
"Diomedea epomophora"	"migrant"	"open"
"Diomedea nigripes"	"migrant"	"open"
"Diomedea immutabilis"	"migrant"	"open"
"Diomedea irrorata"	"migrant"	"open"
