"species"	"Migratory.mode"	"Social.system"
"Attila spadiceus"	"nonmigrant"	"Pair"
"Pitangus sulphuratus"	"migrant"	"Pair"
"Elaenia chiriquensis"	"migrant"	"Pair"
"Elaenia flavogaster"	"migrant"	"Pair"
"Myiozetetes cayanensis"	"nonmigrant"	"Cooperative"
"Sayornis nigricans"	"nonmigrant"	"Pair"
"Sayornis phoebe"	"migrant"	"Pair"
"Sayornis saya"	"migrant"	"Pair"
"Empidonax minimus"	"migrant"	"Pair"
"Pyrocephalus rubinus"	"migrant"	"Pair"
"Tityra semifasciata"	"nonmigrant"	"Pair"
"Rupicola rupicola"	"nonmigrant"	"Female only"
"Sakesphorus canadensis"	"nonmigrant"	"Pair"
"Menura novaehollandiae"	"nonmigrant"	"Female only"
"Rhipidura albicollis"	"nonmigrant"	"Pair"
"Coracina novaehollandiae"	"migrant"	"Occasional"
"Gymnorhina tibicen"	"nonmigrant"	"Cooperative"
"Tephrodornis pondicerianus"	"nonmigrant"	"Pair"
"Dicrurus adsimilis"	"nonmigrant"	"Pair"
"Cissa chinensis"	"nonmigrant"	"Pair"
"Perisoreus infaustus"	"nonmigrant"	"Group"
"Podoces panderi"	"nonmigrant"	"Pair"
"Garrulus lanceolatus"	"nonmigrant"	"Pair"
"Garrulus glandarius"	"nonmigrant"	"Pair"
"Nucifraga caryocatactes"	"nonmigrant"	"Pair"
"Corvus brachyrhynchos"	"migrant"	"Cooperative"
"Corvus caurinus"	"nonmigrant"	"Cooperative"
"Corvus corone"	"migrant"	"Cooperative"
"Corvus corax"	"migrant"	"Pair"
"Corvus cryptoleucus"	"migrant"	"Pair"
"Corvus frugilegus"	"migrant"	"Pair"
"Corvus monedula"	"migrant"	"Pair"
"Pica pica"	"migrant"	"Pair"
"Aphelocoma coerulescens"	"nonmigrant"	"Cooperative"
"Cyanocitta cristata"	"migrant"	"Occasional"
"Cyanocitta stelleri"	"nonmigrant"	"Pair"
"Corvus ossifragus"	"migrant"	"Cooperative"
"Pyrrhocorax pyrrhocorax"	"nonmigrant"	"Pair"
"Pyrrhocorax graculus"	"nonmigrant"	"Pair"
"Terpsiphone paradisi"	"migrant"	"Pair"
"Grallina cyanoleuca"	"nonmigrant"	"Occasional"
"Corcorax melanorhamphos"	"nonmigrant"	"Cooperative"
"Struthidea cinerea"	"nonmigrant"	"Cooperative"
"Pericrocotus cinnamomeus"	"nonmigrant"	"Cooperative"
"Pericrocotus flammeus"	"nonmigrant"	"Unknown"
"Oriolus chinensis"	"migrant"	"Pair"
"Oriolus oriolus"	"migrant"	"Occasional"
"Vireo olivaceus"	"migrant"	"Pair"
"Vireo griseus"	"migrant"	"Pair"
"Vireo bellii"	"migrant"	"Pair"
"Lanius excubitor"	"migrant"	"Pair"
"Lanius ludovicianus"	"migrant"	"Pair"
"Lanius collurio"	"migrant"	"Occasional"
"Lanius vittatus"	"nonmigrant"	"Pair"
"Lanius schach"	"nonmigrant"	"Pair"
"Lanius minor"	"migrant"	"Pair"
"Lanius senator"	"migrant"	"Pair"
"Ailuroedus crassirostris"	"nonmigrant"	"Pair"
"Copsychus saularis"	"nonmigrant"	"Pair"
"Muscicapa striata"	"migrant"	"Pair"
"Ficedula albicollis"	"migrant"	"Occasional"
"Ficedula hypoleuca"	"migrant"	"Occasional"
"Ficedula parva"	"migrant"	"Pair"
"Phoenicurus phoenicurus"	"migrant"	"Pair"
"Phoenicurus auroreus"	"migrant"	"Pair"
"Phoenicurus ochruros"	"migrant"	"Cooperative"
